ID;Product Name;Brand;Manufacturer;Vendor ;Cat# Manufacturer;Cat# Vendor;Lot#;Expiry Date;Room;Sector;Unit;Capacity;Item Property;Pipetting Device;Item Type;Single Pieces;Units per Box;Boxes in Stock;Total Pieces;Minimum Amount;Inventory Status;Order Status;Who Ordered ;Assigned Project;Order Date ;Notes;Favorites
;Product Information;;;;;;;;Stock Information;;;;;;;;;;;;;Order Information;;;;;
;Copy name from vendor or manufacturer catalogue;leave empty if not applicable;identical to Vendor if not otherwise specified;identical to Manufacturer if not otherwise specified;identical to Cat# Manufacturer if not otherwise specified;identical to Cat# Vendor if not otherwise specified;leave empty if not applicable;leave empty if not applicable;room in SSA, usually on C floor;see label on shelf or cupboard;diverse, e.g. mm or ml, leave empty if not applicable or irrelevant;capacity of single piece, e.g. volume of tips or size of membrane, leave empty if not applicable;e.g. pure, sterile, filtered, leave empty if not applicable;e.g. LiHa, MCA96, or MCA384, leave empty if not applicable;e.g. tip box, plate, other;number of pieces within first level packaging (e.g. number of tip boxes in carton, tubes in bag, seals in package), used for calculation of Total Pieces;number of first level packages within second level packaging (e.g. bags or tip boxes inside carton box), fill 1 if no second level packaging is used, used for calculation of Total Pieces;number of second level packages within third level packaging (e.g. carton with tip boxes or tube bags within carton shipping box), use decimal spaces and calculation for open boxes, fill 1 if no third level packaging used, used for calculation of Total Pieces;calculated automatically and therefore locked;used for calculation of Inventory Status;calculated automatically and therefore locked (< Minimum Amount = low, otherwise = in stock);update for new orders, e.g. ordered, tentative or product arrived;member of SnL team;name of Harvest project, (year)_snl_(group)_(project);update for new orders;;
1;200ul MCA96 Tips, pure, no filter;;Tecan;Tecan;30038616;30038616;14440036;2019-11;C75;11.2;ul;200;pure;MCA96;tip box;10;1;1;10;10;in stock;;;;;;
2;500ul MCA96 Tips, pure, no filter;;Tecan;Tecan;300406341;300406341;14080370;2019-02;C75;11.1;ul;500;pure;MCA96;tip box;10;1;1;10;10;in stock;;;;;;
3;200ul MCA96 Tips, sterile, no filter;;Tecan;Tecan;30038617;30038617;14440041;2018-11;C75;11.2;ul;200;sterile;MCA96;tip box;10;1;1;10;10;in stock;;;;;;
4;100ul MCA96 Tips, not sterile, filtered;;Tecan;Tecan;30038613;30038613;13470605;2017-11;C75;11.2;ul;100;filtered;MCA96;tip box;10;1;1;10;10;in stock;;;;;;
5;100ul MCA96 Tips, sterile, filtered;;Tecan;Tecan;30038613;30038613;14380274;2018-09;C75;11.2;ul;100;sterile & filtered;MCA96;tip box;10;1;1;10;10;in stock;;;;;;
6;150ul MCA96 Tips, sterile, filtered;;Tecan;Tecan;30038618;30038618;14071012;2018-02;C75;11.2;ul;150;sterile & filtered;MCA96;tip box;10;1;1;10;10;in stock;;;;;;
7;150ul MCA96 Tips, sterile, filtered;;Tecan;Tecan;30038618;30038618;14360368;2018-09;C75;11.2;ul;150;sterile & filtered;MCA96;tip box;10;1;1;10;10;in stock;;;;;;
8;15ul MCA384 Tips, sterile, no filter;;Tecan;Tecan;30051803;30051803;20161800;2020-05;C75;11.2;ul;15;sterile;MCA384;tip box;10;1;1;10;10;in stock;;;;;;
